time_sec,car,bike,bus,truck,total
1,5,3,0,0,8
2,4,8,2,0,14
3,6,7,1,0,14
4,2,5,0,1,8
5,7,4,1,2,14
6,10,2,0,1,13
7,5,3,1,0,9
8,5,4,0,1,10
9,6,1,0,1,8
10,6,2,1,0,9
11,2,4,1,0,7
12,6,4,1,2,13
13,6,4,2,1,13
14,3,0,1,1,5
15,5,1,0,1,7
16,2,2,1,2,7
17,4,1,0,1,6
18,2,1,0,0,3
19,3,1,0,0,4
20,4,4,0,0,8
21,4,3,1,1,9
22,5,6,0,1,12
23,4,4,0,0,8
24,6,2,0,1,9
25,3,2,1,0,6
26,4,4,0,1,9
27,8,4,0,1,13
28,3,1,0,1,5
29,4,1,1,1,7
30,3,0,1,1,5
31,2,0,1,0,3
32,3,1,3,1,8
33,4,0,2,2,8
34,6,3,0,1,10
35,8,2,1,0,11
36,7,2,1,1,11
37,2,0,0,1,3
38,3,2,0,0,5
39,1,1,0,0,2
