time_sec,car,bike,bus,truck,total
1,10,7,1,1,19
2,9,14,5,1,29
3,12,11,2,1,26
4,6,9,1,2,18
5,13,8,2,5,28
6,18,5,1,2,26
7,10,6,2,1,19
8,11,7,1,3,22
9,12,3,1,3,19
10,12,5,3,1,21
11,6,7,3,1,17
12,12,7,2,4,25
13,13,8,4,2,27
14,7,1,2,3,13
15,10,4,1,3,18
16,6,5,2,5,18
17,9,3,1,2,15
18,5,2,1,1,9
19,6,2,1,1,10
20,9,8,1,1,19
21,8,6,2,3,19
22,9,11,1,2,23
23,9,8,1,1,19
24,13,4,1,2,20
25,6,5,2,1,14
26,9,8,1,2,20
27,14,7,1,2,24
28,6,3,1,3,13
29,8,3,2,2,15
30,7,2,2,2,13
31,6,1,3,1,11
32,7,3,6,3,19
33,9,1,3,5,18
34,11,6,1,2,20
35,15,5,2,1,23
36,13,5,2,2,22
37,5,1,1,2,9
38,6,4,1,1,12
39,3,2,1,1,7
