time_sec,car,bike,bus,truck,total
1,6,4,2,1,13
2,4,8,6,2,20
3,7,6,3,1,17
4,3,5,2,2,12
5,8,5,3,6,22
6,12,2,2,3,19
7,6,3,3,1,13
8,6,4,2,3,15
9,7,1,2,3,13
10,7,2,4,1,14
11,3,4,3,1,11
12,7,4,2,5,18
13,7,4,5,3,19
14,3,0,3,3,9
15,6,2,2,3,13
16,3,2,3,6,14
17,5,1,2,2,10
18,3,1,1,1,6
19,4,1,1,1,7
20,5,5,2,1,13
21,4,3,3,3,13
22,5,7,2,2,16
23,5,5,2,1,13
24,8,2,2,2,14
25,4,2,2,1,9
26,5,5,2,2,14
27,9,4,2,2,17
28,4,1,2,3,10
29,5,1,3,2,11
30,4,0,3,2,9
31,3,0,4,1,8
32,4,1,7,3,15
33,5,0,4,6,15
34,7,3,2,2,14
35,10,2,3,1,16
36,8,2,3,2,15
37,3,0,1,2,6
38,3,2,1,1,7
39,1,1,1,1,4
