time_sec,car,bike,bus,truck,total
1,6,9,0,0,15
2,4,16,2,0,22
3,7,14,1,0,22
4,2,12,0,1,15
5,8,11,1,3,23
6,12,9,0,1,22
7,6,8,1,0,15
8,6,10,0,1,17
9,7,6,0,1,14
10,7,9,1,0,17
11,2,11,1,0,14
12,7,10,1,2,20
13,7,12,2,1,22
14,3,4,1,1,9
15,6,7,0,1,14
16,3,8,1,2,14
17,5,6,0,1,12
18,2,5,0,0,7
19,3,4,0,0,7
20,5,13,0,0,18
21,4,9,1,1,15
22,5,15,0,1,21
23,5,12,0,0,17
24,8,7,0,1,16
25,3,8,1,0,12
26,5,12,0,1,18
27,9,14,0,1,24
28,4,6,0,1,11
29,5,7,1,1,14
30,4,5,1,1,11
31,3,4,1,0,8
32,3,9,3,1,16
33,5,7,2,2,16
34,7,11,0,1,19
35,9,10,1,0,20
36,8,9,1,1,19
37,2,3,0,1,6
38,3,6,0,0,9
39,1,2,0,0,3
