time_sec,car,bike,bus,truck,total
1,6,3,1,3,13
2,4,6,4,5,19
3,7,5,2,4,18
4,3,4,1,4,12
5,8,4,2,8,22
6,12,2,1,6,21
7,6,3,2,4,15
8,6,4,1,5,16
9,7,1,1,5,14
10,7,2,3,4,16
11,2,3,3,3,11
12,7,4,2,7,20
13,7,4,4,5,20
14,3,0,2,4,9
15,6,1,1,5,13
16,3,2,2,7,14
17,5,1,1,4,11
18,2,1,1,2,6
19,3,1,1,2,7
20,5,4,1,3,13
21,4,3,2,5,14
22,5,6,1,4,16
23,5,4,1,3,13
24,8,2,1,4,15
25,3,2,2,3,10
26,5,5,1,4,15
27,9,4,1,5,19
28,4,1,1,4,10
29,5,1,2,3,11
30,4,0,2,3,9
31,3,0,3,2,8
32,3,1,6,5,15
33,5,0,3,8,16
34,7,3,1,4,15
35,9,2,2,3,16
36,8,2,2,4,16
37,2,0,1,3,6
38,3,2,1,2,8
39,1,1,1,2,5
